,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Color
969,11/6/20,2020,11,6,Friday,44,2020-44,1305.0,1331.49,1299.46,1326.17,269000,1326.17,0.012096357,1284.742857,1283.8110000000001,Green
970,11/9/20,2020,11,9,Monday,45,2020-45,1325.16,1346.0,1274.03,1278.13,502800,1278.13,-0.036224645,1279.718571,1283.3434,Red
971,11/10/20,2020,11,10,Tuesday,45,2020-45,1271.95,1280.4,1220.2,1243.05,552600,1243.05,-0.027446312999999996,1270.8892859999999,1281.9988,Red
972,11/11/20,2020,11,11,Wednesday,45,2020-45,1260.74,1319.99,1258.0,1303.93,350700,1303.93,0.04897631,1271.1492859999998,1280.633,Red
973,11/12/20,2020,11,12,Thursday,45,2020-45,1300.0,1312.89,1256.52,1259.27,322700,1259.27,-0.03425033,1265.4485710000001,1278.2378,Red
974,11/13/20,2020,11,13,Friday,45,2020-45,1268.85,1278.0,1246.5,1251.43,246000,1251.43,-0.006225802,1261.123571,1276.6918,Red
975,11/16/20,2020,11,16,Monday,46,2020-46,1257.86,1269.45,1241.38,1260.67,242900,1260.67,0.007383545,1257.589286,1275.6306,Green
976,11/17/20,2020,11,17,Tuesday,46,2020-46,1268.43,1272.42,1257.1,1268.48,160300,1268.48,0.006195068000000001,1258.656429,1275.0052,Green
977,11/18/20,2020,11,18,Wednesday,46,2020-46,1265.62,1301.27,1262.88,1296.0,302800,1296.0,0.021695272999999998,1262.4564289999998,1274.5046,Green
978,11/19/20,2020,11,19,Thursday,46,2020-46,1288.81,1315.0,1285.0,1310.46,241800,1310.46,0.011157377,1270.240714,1274.5439999999999,Green
979,11/20/20,2020,11,20,Friday,46,2020-46,1307.32,1308.51,1288.05,1292.57,202500,1292.57,-0.013651706000000001,1277.671429,1274.4460000000001,Green
980,11/23/20,2020,11,23,Monday,47,2020-47,1295.94,1295.94,1271.92,1281.0,261700,1281.0,-0.008951118000000001,1282.775,1274.7222,Green
981,11/24/20,2020,11,24,Tuesday,47,2020-47,1285.73,1290.25,1261.23,1262.82,349300,1262.82,-0.014192079,1281.7357140000001,1274.4314,Green
982,11/25/20,2020,11,25,Wednesday,47,2020-47,1269.2,1280.8,1265.26,1276.68,189500,1276.68,0.010975521,1279.332857,1274.6476,Green
983,11/27/20,2020,11,27,Friday,47,2020-47,1277.0,1299.5,1271.45,1297.77,154600,1297.77,0.016519382,1277.304286,1276.0956,Green
984,11/30/20,2020,11,30,Monday,48,2020-48,1297.68,1297.68,1264.96,1289.43,268000,1289.43,-0.006426382,1278.1114289999998,1277.5746,Green
985,12/1/20,2020,12,1,Tuesday,48,2020-48,1290.0,1323.98,1275.21,1321.06,335400,1321.06,0.024530222,1283.683571,1279.8654,Green
986,12/2/20,2020,12,2,Wednesday,48,2020-48,1314.45,1316.85,1287.06,1297.0,220500,1297.0,-0.018212691,1283.1885710000001,1281.1138,Green
987,12/3/20,2020,12,3,Thursday,48,2020-48,1301.19,1322.65,1301.0,1308.76,209600,1308.76,0.009067085,1286.723571,1282.3212,Green
988,12/4/20,2020,12,4,Friday,48,2020-48,1311.15,1337.73,1307.5,1334.62,215500,1334.62,0.01975915,1292.665714,1284.428,Green
989,12/7/20,2020,12,7,Monday,49,2020-49,1333.57,1352.16,1327.0,1347.1,248300,1347.1,0.009350961999999999,1298.839286,1286.48,Red
990,12/8/20,2020,12,8,Tuesday,49,2020-49,1339.44,1348.86,1322.0,1346.0,258100,1346.0,-0.0008165510000000001,1304.376429,1288.133,Red
991,12/9/20,2020,12,9,Wednesday,49,2020-49,1350.0,1358.71,1307.41,1313.98,231100,1313.98,-0.023789018999999998,1305.660714,1289.1804,Red
992,12/10/20,2020,12,10,Thursday,49,2020-49,1303.97,1325.85,1300.16,1317.23,165500,1317.23,0.002473401,1306.144286,1290.6508,Red
993,12/11/20,2020,12,11,Friday,49,2020-49,1317.23,1320.61,1299.57,1300.0,182200,1300.0,-0.013080465,1306.675,1291.8904,Red
994,12/14/20,2020,12,14,Monday,50,2020-50,1308.65,1313.03,1296.85,1309.52,237400,1309.52,0.007323092,1308.712143,1292.9848,Green
995,12/15/20,2020,12,15,Tuesday,50,2020-50,1320.18,1354.48,1318.45,1346.46,391600,1346.46,0.028208764,1314.6864289999999,1294.8538,Green
996,12/16/20,2020,12,16,Wednesday,50,2020-50,1380.0,1422.22,1375.43,1400.62,698100,1400.62,0.040224021,1323.539286,1297.738,Green
997,12/17/20,2020,12,17,Thursday,50,2020-50,1407.61,1421.45,1385.79,1409.68,376700,1409.68,0.006468606,1331.532857,1300.358,Green
998,12/18/20,2020,12,18,Friday,50,2020-50,1418.0,1425.0,1410.96,1418.57,438400,1418.57,0.006306319,1340.757143,1303.0944,Green
999,12/21/20,2020,12,21,Monday,51,2020-51,1400.0,1423.98,1390.85,1417.99,299700,1417.99,-0.00040883099999999996,1347.680714,1305.8144,Red
1000,12/22/20,2020,12,22,Tuesday,51,2020-51,1418.0,1429.87,1397.5,1426.3,327100,1426.3,0.005860449,1356.9164289999999,1308.7618,Red
1001,12/23/20,2020,12,23,Wednesday,51,2020-51,1434.55,1435.52,1406.05,1410.99,199900,1410.99,-0.010734108000000001,1364.218571,1310.4772,Red
1002,12/24/20,2020,12,24,Thursday,51,2020-51,1410.91,1418.54,1406.87,1412.55,101300,1412.55,0.001105648,1369.785,1312.3008,Red
1003,12/28/20,2020,12,28,Monday,52,2020-52,1423.0,1423.0,1400.8,1401.49,174400,1401.49,-0.007829853000000001,1373.67,1313.4656,Red
1004,12/29/20,2020,12,29,Tuesday,52,2020-52,1402.38,1408.09,1377.34,1392.21,182300,1392.21,-0.006621545,1376.970714,1314.5162,Red
1005,12/30/20,2020,12,30,Wednesday,52,2020-52,1395.0,1398.1,1373.62,1374.17,184400,1374.17,-0.012957756,1381.27,1315.2878,Red
1006,12/31/20,2020,12,31,Thursday,52,2020-52,1372.0,1393.14,1363.0,1386.71,217700,1386.71,0.009125448000000001,1386.232857,1316.0526,Red
1007,1/4/21,2021,1,4,Monday,1,2021-01,1386.68,1390.0,1312.34,1319.12,513900,1319.12,-0.048741242000000004,1387.598571,1315.1018,Red
1008,1/5/21,2021,1,5,Tuesday,1,2021-01,1319.11,1358.23,1316.91,1355.11,295100,1355.11,0.027283332999999996,1390.855,1316.1982,Red
1009,1/6/21,2021,1,6,Wednesday,1,2021-01,1335.42,1357.43,1335.0,1343.41,234200,1343.41,-0.008633949,1390.637143,1316.2848,Red
1010,1/7/21,2021,1,7,Thursday,1,2021-01,1351.0,1378.71,1348.7,1368.14,236700,1368.14,0.018408364,1388.317143,1317.408,Red
1011,1/8/21,2021,1,8,Friday,1,2021-01,1378.81,1410.51,1374.81,1402.44,368900,1402.44,0.02507048,1387.8,1319.2538,Red
1012,1/11/21,2021,1,11,Monday,2,2021-02,1391.36,1421.58,1389.11,1402.62,227100,1402.62,0.000128386,1386.660714,1322.2354,Green
1013,1/12/21,2021,1,12,Tuesday,2,2021-02,1410.0,1414.36,1388.69,1401.64,211300,1401.64,-0.0006986789999999999,1385.492857,1325.4122,Green
1014,1/13/21,2021,1,13,Wednesday,2,2021-02,1404.73,1407.52,1384.51,1395.0,186600,1395.0,-0.004737318,1383.257143,1329.2826,Green
1015,1/14/21,2021,1,14,Thursday,2,2021-02,1418.3,1453.5,1397.69,1411.8,426600,1411.8,0.012043046000000002,1383.315,1333.7478,Green
1016,1/15/21,2021,1,15,Friday,2,2021-02,1405.24,1417.77,1398.82,1405.74,208400,1405.74,-0.004292434,1382.828571,1337.6716,Green
1017,1/19/21,2021,1,19,Tuesday,3,2021-03,1420.16,1432.9,1392.2,1429.48,222700,1429.48,0.016887896,1384.827857,1340.7138,Green
1018,1/20/21,2021,1,20,Wednesday,3,2021-03,1443.82,1483.64,1437.4,1480.62,296000,1480.62,0.035775258,1391.142857,1344.1198,Green
1019,1/21/21,2021,1,21,Thursday,3,2021-03,1477.2,1508.72,1476.54,1503.68,298300,1503.68,0.015574596000000001,1400.393571,1347.67,Green
